title,productionCompanies,distributors,releaseDate
Demolition,"Sidney Kimmel Entertainment,Mr. Mudd Production,Right of Way Films,Black Label Media",Fox Searchlight,4/8/16
The First Monday in May,,Magnolia Pictures,4/15/16
Green Room,"filmscience,Broad Green Pictures",A24,4/15/16
Criminal,"BenderSpink,Campbell Grobman Films,Criminal Productions,Fipex Holding,Lionsgate,Millennium Films",Lionsgate Films,4/15/16
The Adderall Diaries,"Rabbit Bandini Productions,Windowseat Films",A24,4/15/16
Barbershop: The Next Cut,"New Line Cinema,Cube Vision,Metro-Goldwyn-Mayer",Warner Bros. Pictures,4/15/16
The Jungle Book,"Walt Disney Pictures,Fairview Entertainment,Moving Picture Company",Walt Disney,4/15/16
Compadres,"Draco Films,Gordo y Chaparro Films",Lionsgate Films,4/22/16
Elvis & Nixon,"Autumn Productions,Benaroya Pictures,Prescience,Holly Wiersma Productions,Elevated Films,jellyfish Bloom",Amazon Studios,4/22/16
A Hologram for the King,"Kasbah-Film Tanger,Playtone,22h22,Fábrica de Cine,Primeridian Entertainment,X-Filme Creative Pool",Roadside Attractions,4/22/16
Tale of Tales,"Amer,Archimede,Le Pacte,Rai Cinema,HanWay Films,New Sparta Films,Recorded Picture Company (RPC),Fonds Eurimages du Conseil de l'Europe,Apulia Film Commission,Regione Lazio,Gamenet,Banca Popolare di Vicenza,Morato Pane & Idee,Ministero per i Beni e le Attività Culturali (MiBAC)",IFC Films,4/22/16
The Huntsman: Winter's War,"Roth Films,Universal Pictures,Perfect World Pictures",Universal Pictures,4/22/16
Viva,"Magnolia Pictures,Irish Film Board,Treasure Entertainment",Magnolia Pictures,4/29/16
Keanu,New Line Cinema,Warner Bros. Pictures,4/29/16
The Man Who Knew Infinity,"Animus Films,Edward R. Pressman Film,Kreo Films FZ,Xeitgeist Entertainment Group,American Entertainment Investors",IFC Films,4/29/16
Ratchet & Clank,"Rainmaker Studios,Blockade Entertainment,Gramercy Pictures",Focus Features,4/29/16
Mother's Day,"Rice Films,Gulfstream Pictures,May Day Movies,Triad Film Works,Beatnik Films,Capacity Pictures,Open Road Films,PalmStar Media",Open Road,4/29/16
Dheepan,"Soficinéma 11,France 2 Cinéma,Why Not Productions,Ciné+,Région Ile-de-France,Page 114,Cofinova 11,La Banque Postale Image 8,Indéfilms 3,Palatine Étoile 12,Cinémage 9,A Plus Image 5,SofiTVciné 2,Canal+,France Télévisions",IFC Films,5/6/16
Captain America: Civil War,Marvel Studios,Walt Disney,5/6/16
The Angry Birds Movie,"Columbia Pictures,Rovio Entertainment,Rovio Animation,Sony Pictures",Sony Pictures,5/11/16
Money Monster,"Allegiance Theater,Sony Pictures Releasing,TriStar Pictures,LStar Capital,Smoke House Pictures",TriStar,5/12/16
Love & Friendship,"Amazon Studios,Blinder Films,Chic Films,Westerly Films,Revolver Amsterdam",Amazon Studios,5/13/16
The Darkness,"Chapter One Films,Universal Pictures,Blumhouse Productions",BH Tilt,5/13/16
Sunset Song,"Iris Productions,Hurricane Films,SellOutPictures",Magnolia Pictures,5/13/16
Pelé: Birth of a Legend,"Zohar International,IFC Films,Imagine Entertainment,Seine Pictures",IFC Films,5/13/16
The Lobster,"Scarlet Films,Haut et Court,Eurimages,Lemming Film,Element Pictures,Nederlands Fonds voor de Film,Greek Film Centre,Ciné+,Faliro House Productions,Institut Français,L'Aide aux Cinémas du Monde,Limp Films,Ministère des Affaires étrangères et du Développement International,Film4 Productions,Centre National de la Cinématographie,Canal+,Protagonist Pictures",A24,5/13/16
High-Rise,"Ingenious Media,HanWay Films,SCOPE Pictures,Recorded Picture Company (RPC),Northern Ireland Screen",Magnolia Pictures,5/13/16
Weiner,"Motto Pictures,Edgeline Films",IFC Films,5/20/16
The Nice Guys,"Silver Pictures,Waypoint Entertainment,Bloom,Nice Guys,Misty Mountains,Warner Bros. Pictures",Warner Bros. Pictures,5/20/16
Neighbors 2: Sorority Rising,"Perfect World Pictures,Point Grey Pictures,Good Universe,Universal Pictures",Universal Pictures,5/20/16
X-Men: Apocalypse,"The Donners' Company,Marvel Entertainment,Bad Hat Harry Productions,TSG Entertainment,20th Century Fox,Genre Films",20th Century Fox,5/27/16
Presenting Princess Shaw,,Magnolia Pictures,5/27/16
The Ones Below,"Tigerlily Films,BBC Films,Kreo Films FZ,Cuba Pictures",Magnolia Pictures,5/27/16
Alice Through the Looking Glass,"Legend3D,Walt Disney Pictures,Roth Films,Team Todd,Tim Burton Productions",Walt Disney,5/27/16
Popstar: Never Stop Never Stopping,"Universal Pictures,Apatow Productions,Party Over,Lonely Island, The",Universal Pictures,6/3/16
Me Before You,"New Line Cinema,Sunswept Entertainment,Metro-Goldwyn-Mayer",Warner Bros. Pictures,6/3/16
Teenage Mutant Ninja Turtles: Out of the Shadows,"5150 Action,Paramount,Nickelodeon Movies,Platinum Dunes,Gama Entertainment Partners",Paramount Pictures,6/3/16
De Palma,"Boxmotion,Empire Ward",A24,6/10/16
Warcraft,"Legendary Entertainment,Universal Pictures,Atlas Entertainment,Blizzard Entertainment,Tencent Pictures",Universal Pictures,6/10/16
Genius,"Pinewood Pictures,Desert Wolf Productions,Michael Grandage Company,Riverstone Pictures",Roadside Attractions,6/10/16
Now You See Me 2,"Summit Entertainment,Lionsgate,K/O Paper Products,TIK Films",Lionsgate Films,6/10/16
The Conjuring 2,"New Line Cinema,Dune Entertainment,The Safran Company,Evergreen Media Group,Soho VFX,Atomic Monster",Warner Bros. Pictures,6/10/16
Central Intelligence,"Universal Pictures,New Line Cinema,Bluegrass Films,RatPac-Dune Entertainment,Perfect World Pictures,Artists First,Principato-Young Entertainment",N/A,6/17/16
The Last King,"Proton Cinema,Paradox Film 3,Nordisk Film Production,Newgrange Pictures",Magnolia Pictures,6/17/16
Finding Dory,Pixar,Walt Disney,6/17/16
Tickled,"Horseshoe Films,A Ticklish Tale,Fumes Production",Magnolia Pictures,6/17/16
Wiener-Dog,"Killer Films,Annapurna Pictures",IFC Films,6/24/16
The Neon Demon,"Amazon Studios,Bold Films,Vendian Entertainment,Space Rocket Nation",Amazon Studios,6/24/16
The Shallows,"Columbia Pictures,Ombra Films,Weimaraner Republic Pictures",Sony Pictures,6/24/16
Free State of Jones,"Vendian Entertainment,Larger Than Life Productions,Route One Films,STX Entertainment",STX Films,6/24/16
Swiss Army Man,"BlackBird,Tadmor",A24,6/24/16
Independence Day: Resurgence,"Centropolis Entertainment,Stereo D,TSG Entertainment,20th Century Fox",20th Century Fox,6/24/16
The Purge: Election Year,"Why Not Productions,Universal Pictures,Blumhouse Productions,Platinum Dunes",N/A,7/1/16
Our Kind of Traitor,"StudioCanal,Anton Capital Entertainment (ACE),The Ink Factory,Film4 Productions,Potboiler Productions",Roadside Attractions,7/1/16
Satanic,"Marvista Entertainment,Circle of Confusion",Magnolia Pictures,7/1/16
The Legend of Tarzan,"Village Roadshow Pictures,Dark Horse Entertainment,Beagle Pug Films,Jerry Weintraub Productions,RatPac-Dune Entertainment,Riche Productions",Warner Bros. Pictures,7/1/16
The BFG,"Walt Disney Pictures,Amblin Entertainment,Reliance Entertainment,Walden Media,The Kennedy/Marshall Company",Walt Disney,7/1/16
Mike and Dave Need Wedding Dates,"Chernin Entertainment,TSG Entertainment,20th Century Fox",N/A,7/8/16
Zero Days,"Participant Media,Jigsaw Productions",Magnolia Pictures,7/8/16
The Secret Life of Pets,"Universal Pictures,Fuji Television Network,Illumination Entertainment,Dentsu",Universal Pictures,7/8/16
Sausage Party,"Columbia Pictures,Annapurna Pictures,Point Grey Pictures,Nitrogen Studios Canada,Sony Pictures",N/A,7/11/16
The Infiltrator,Good Films,Broad Green Pictures,7/13/16
Café Society,"Perdido Productions,Gravier Productions,FilmNation Entertainment",Lionsgate Films,7/15/16
Hillary's America: The Secret History of the Democratic Party,D'Souza Media,Pure Flix,7/15/16
Equals,"Scott Free Productions,Infinite Frameworks Studios,Freedom Media,Route One Entertainment",A24,7/15/16
Batman: The Killing Joke,"Warner Bros. Animation,DC Comics,DC Entertainment",Fathom,7/21/16
Lights Out,"Atomic Monster,New Line Productions,Matter Productions",Warner Bros. Pictures,7/22/16
Ice Age: Collision Course,"Blue Sky Studios,20th Century Fox Animation,20th Century Fox",20th Century Fox,7/22/16
Star Trek Beyond,"Skydance Media,Paramount,Bad Robot,Perfect Storm Entertainment,Alibaba Pictures Group,Sneaky Shark,Huahua Media",Paramount Pictures,7/22/16
Nerve,"Keep Your Head,Lionsgate,Allison Shearmur Productions",Lionsgate Films,7/27/16
Gleason,,Open Road,7/29/16
League of Gods,"China Star Entertainment,Huayi Brothers",Sony Pictures,7/29/16
Jason Bourne,"The Kennedy/Marshall Company,Captivate Entertainment,Pearl Street Films,Double Negative,Perfect World Pictures",N/A,7/29/16
Bad Moms,"STX Entertainment,Huayi Brothers Pictures,BillBlock Media",STX Films,7/29/16
Indignation,"Likely Story,Symbolic Exchange",Roadside Attractions,7/29/16
The Land,Low Spark Films,IFC Films,7/29/16
Nine Lives,"Fundamental Films,EuropaCorp",Magnolia Pictures,8/3/16
Little Men,"Race Point Films,Charlie Guidance,Faliro House Productions,Water's End Productions",Magnolia Pictures,8/5/16
Suicide Squad,"Atlas Entertainment,DC Comics,DC Entertainment,Dune Entertainment,Warner Bros. Pictures",Warner Bros. Pictures,8/5/16
Pete's Dragon,Whitaker Entertainment,Walt Disney,8/12/16
Florence Foster Jenkins,"BBC Films,Qwerty Films,Pathé!",Paramount Pictures,8/12/16
Hell or High Water,"Sidney Kimmel Entertainment,Film 44,OddLot Entertainment",Lionsgate Films,8/12/16
Disorder,"Angoa-Agicoa,PROCIREP,France 3 Cinéma,Mars Films,Darius Films,Dharamsala,SCOPE Pictures,Région Provence-Alpes-Côte d'Azur,Le Tax Shelter du Gouvernement Fédéral de Belgique,Région Basse-Normandie,Indie Sales Company,Indie Invest,Centre National de la Cinématographie,Canal+,Ciné+,France Télévisions",IFC Films,8/12/16
Morris From America,"Beachside Films,Lichtblick Media GmbH,INDI Film GmbH",A24,8/19/16
Ben-Hur,"Sean Daniel Company,LightWorkers Media,Paramount,Metro-Goldwyn-Mayer",Paramount Pictures,8/19/16
A Tale of Love and Darkness,"Handsomecharlie Films,Ram Bergman Productions,Black Bicycle Entertainment",Focus Features,8/19/16
"Lo and Behold, Reveries of the Connected World",Saville Productions,Magnolia Pictures,8/19/16
War Dogs,"The Mark Gordon Company,Green Hat Films,Joint Effort,Warner Bros. Pictures",Warner Bros. Pictures,8/19/16
Don't Breathe,"Ghost House Pictures,Screen Gems,Stage 6 Films",Sony Pictures,8/25/16
Mechanic: Resurrection,"Davis-Films,ME2 Productions,Millennium Films,Chartoff-Winkler Productions",Lionsgate Films,8/26/16
The Intervention,Burn Later Productions,Samuel Goldwyn Films,8/26/16
The Sea of Trees,"Waypoint Entertainment,Bloom,Netter Productions",A24,8/26/16
Southside With You,"IM Global,Get Lifted Film Company",Roadside Attractions,8/26/16
Hands of Stone,"La Piedra Films,Fuego Films,Epicentral Studios,The Weinstein Company",Weinstein Company,8/26/16
Complete Unknown,"Great Point Media,Parts and Labor,Heron Television",IFC Films,8/26/16
The Light Between Oceans,"DreamWorks Pictures,Heyday Films,Participant Media",Walt Disney,9/2/16
Morgan,"TSG Entertainment,20th Century Fox,Burk A Project,Isobel Griffiths,Scott Free Productions",N/A,9/2/16
"No manches, Frida","Videocine,Televisa Cine,Pantelion Films,Alcon Entertainment,Constantin Film,Neverending Media",Lionsgate Films,9/2/16
When the Bough Breaks,"Unique Features,Screen Gems",Sony Pictures,9/9/16
